Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL118887,CCCc1c(OCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,6.374687549,5.2962,462.424,4,6,1,4,9,86.72
CHEMBL121106,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1ccccn1,7,2.4909,357.435,2,6,1,3,7,71.53
CHEMBL122417,CCCc1ccccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,6.468521083,3.7945,369.417,2,5,1,3,9,73.86
CHEMBL122418,CCCc1cc(CC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,7.229147988,6.6339,481.658,2,5,1,4,11,64.63
CHEMBL1267,CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,4.886056648,2.6505,372.446,2,6,2,3,7,88.52
CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,6.247183569,3.7166,348.378,4,4,0,5,2,40.8
CHEMBL1373918,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1,4.585026652,3.0928,272.3,2,4,2,2,4,66.76
CHEMBL1426715,O=C(O)c1ccc(-n2nnnc2SCc2ccccc2Br)cc1,5.289713352,3.4153,391.25,3,6,1,3,5,80.9
CHEMBL146624,CCc1ccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)nc1,4.651695137,2.7998,370.43,2,6,1,3,7,85.36
CHEMBL147086,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(CC(=O)O)c2=O)cc1,5.102372909,2.90342,467.522,3,7,2,3,11,123.65
CHEMBL148639,Cn1c(CCCc2ccc(OC(C)(C)C(=O)O)cc2)nn(Cc2ccc(C(C)(C)C)cc2)c1=O,6.283996656,4.3449,465.594,3,6,1,3,9,86.35
CHEMBL148774,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)n(CCO)c2=O)cc1,5.214835015,2.81112,453.539,3,7,2,3,11,106.58
CHEMBL149438,CCCn1c(CCCc2ccc(OC(C)(C)C(=O)O)cc2)nn(CC2CCCCC2)c1=O,5.769775948,4.4524,443.588,2,6,1,3,11,86.35
CHEMBL149676,CCCn1c(CCCc2ccc(OC(C)(C)C(=O)O)cc2)nn(Cc2ccc(C)cc2)c1=O,5.309901869,4.22882,451.567,3,6,1,3,11,86.35
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.63638802,2.2824,286.239,3,6,4,3,1,111.13
CHEMBL1526763,O=C(O)c1ccc(COc2ccccc2C=C2C(=O)c3ccccc3C2=O)cc1,5.941573976,4.4264,384.387,3,4,1,4,5,80.67
CHEMBL1529347,COc1cc(OC)c2c(=O)cc(-c3cccnc3)oc2c1,5.958607315,2.8722,283.283,3,5,0,3,3,61.56
CHEMBL15594,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,5.795880017,6.2167,304.474,0,1,1,0,14,37.3
CHEMBL1629930,O=C(Oc1ccc([N+](=O)[O-])cc1)c1cn(-c2ccccc2)nc1-c1ccccc1,6.01188716,4.6667,385.379,4,6,0,4,5,87.26
CHEMBL175310,CCCc1c(OCCCOc2ccc3ccn(CC(=O)O)c3c2)ccc2c(C(F)(F)F)noc12,5.980053318,5.6863,476.451,4,6,1,4,10,86.72
CHEMBL1760005,CCCCN(c1cccc(-c2ccc(OC(F)(F)F)cc2)c1Cl)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,7.36974,600.055,3,5,1,3,11,93.14
CHEMBL1760266,Cc1cc(S(=O)(=O)N(CCC(C)C)c2cccc(-c3ccc(C(F)(F)F)cc3)c2)ccc1OCC(=O)O,5.300000202,6.38562,535.584,3,4,1,3,10,83.91
CHEMBL1760268,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OCC(=O)O)c(C)c1C,5.599999383,6.39106,516.059,3,4,1,3,10,83.91
CHEMBL1760269,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(CC)C(=O)O)c(C)c1C,5.300000202,7.16966,544.113,3,4,1,3,11,83.91
CHEMBL1760270,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(CCC)C(=O)O)c(C)c1C,5.499999679,7.55976,558.14,3,4,1,3,12,83.91
CHEMBL1760271,CCCCC(Oc1ccc(S(=O)(=O)N(CCCC)c2cccc(-c3ccc(Cl)cc3)c2C)c(C)c1C)C(=O)O,5.400000186,7.94986,572.167,3,4,1,3,13,83.91
CHEMBL1760274,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C2CCCCC2)c1,5.100000128,8.21042,584.178,3,4,1,4,11,83.91
CHEMBL1760399,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(Cl)c1Cl,5.400000186,7.46952,570.922,3,4,1,3,10,83.91
CHEMBL1760400,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(OC)c1Cl,5.200000237,6.82472,566.503,3,5,1,3,11,93.14
CHEMBL1760401,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(F)c1Cl,5.200000237,6.95522,554.467,3,4,1,3,10,83.91
CHEMBL1760402,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(F)c1OC,5.300000202,6.31042,550.048,3,5,1,3,11,93.14
CHEMBL1760403,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(F)c1F,5.499999679,6.44092,538.012,3,4,1,3,10,83.91
CHEMBL1760404,CCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(OC)c1OC,5.400000186,6.17992,562.084,3,6,1,3,12,102.37
CHEMBL1760405,CCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.100000128,6.38946,516.059,3,4,1,3,9,83.91
CHEMBL1760406,CCCCCN(c1cccc(-c2ccc(Cl)cc2)c1C)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.300000202,7.16966,544.113,3,4,1,3,11,83.91
CHEMBL1760407,Cc1c(-c2ccc(Cl)cc2)cccc1N(CC1CCC1)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,5.200000237,6.77956,542.097,3,4,1,4,9,83.91
